id,bundle_group_id,code_id,frequency,is_default,display_order,why_billed,is_surprise_charge
bgc001,bg001,c001,always,true,1,Global OB care covers all prenatal visits delivery and 6-week postpartum visit,false
bgc002,bg002,c010,usually,true,1,Epidural anesthesia for labor pain management,false
bgc003,bg002,c008,sometimes,false,2,General anesthesia if emergency C-section needed,false
bgc004,bg002,c012,sometimes,false,3,Epidural catheter placement technical fee,false
bgc008,bg004,c016,always,true,1,Initial prenatal blood panel required for all pregnancies,false
bgc009,bg004,c028,always,true,2,CBC to check for anemia and infection,false
bgc010,bg004,c050,always,true,3,Blood type needed for Rh compatibility,false
bgc011,bg004,c051,always,true,4,Rh factor critical for pregnancy management,false
bgc012,bg004,c034,always,true,5,Rubella immunity check to protect fetus,false
bgc013,bg004,c033,always,true,6,HIV screening required for all pregnant patients,false
bgc014,bg004,c040,always,true,7,Hepatitis B screening to prevent newborn transmission,false
bgc015,bg005,c021,usually,false,1,AFP test screens for neural tube defects,false
bgc016,bg005,c024,usually,false,2,Glucose tolerance test screens for gestational diabetes,false
bgc017,bg005,c042,usually,false,3,Chlamydia screening prevents newborn infection,false
bgc018,bg005,c043,usually,false,4,Gonorrhea screening prevents newborn infection,false
bgc019,bg005,c048,usually,false,5,Pap smear if not current,false
bgc020,bg005,c035,sometimes,false,6,Hepatitis C screening if risk factors,false
bgc021,bg005,c037,sometimes,false,7,MRSA screening per facility protocol,false
bgc022,bg006,c053,always,true,1,Dating ultrasound to confirm gestational age,false
bgc023,bg006,c055,usually,true,2,Anatomy scan at 18-22 weeks,false
bgc024,bg006,c060,sometimes,false,3,Transvaginal ultrasound if needed for better visualization,false
bgc025,bg006,c056,sometimes,false,4,Detailed fetal evaluation if abnormalities suspected,false
bgc026,bg007,c065,sometimes,false,1,Non-stress test to monitor fetal wellbeing,false
bgc027,bg007,c061,sometimes,false,2,Biophysical profile for high-risk pregnancies,false
bgc028,bg007,c063,rarely,false,3,Doppler studies if growth concerns,false
bgc029,bg008,c006,sometimes,false,1,Episiotomy repair if surgical cut made during delivery,false
bgc030,bg008,c005,rarely,false,2,Separate placenta delivery if manual removal needed,false
bgc031,bg008,c004,rarely,false,3,Version procedure if baby is breech,false
bgc032,bg009,c091,always,true,1,Initial newborn exam and care in hospital,false
bgc033,bg009,c093,usually,true,2,Daily newborn care during hospital stay,false
bgc034,bg010,c095,sometimes,false,1,Pediatrician attendance at delivery if complications expected,false
