pharmacy_id,pharmacy_name,pharmacy_type,accepts_insurance,delivery_only,national,notes
cpd,Cost Plus Drugs,mail_order,false,true,true,Single national mail-order pharmacy
cvs,CVS Pharmacy,retail,true,false,true,National retail chain
walgreens,Walgreens,retail,true,false,true,National retail chain
walmart,Walmart Pharmacy,retail,true,false,true,National retail chain
kroger,Kroger Pharmacy,retail,true,false,false,Regional grocery pharmacy
costco,Costco,,,,,
target,Target,,,,,
albertsons,Albertsons (Sav-On),,,,,
bartell,Bartell Drug Co,,,,,
dillons,Dillons Pharmacy,,,,,
fred_meyer,Fred Meyer Pharmacy,,,,,
haggen,Haggen,,,,,
harris_teeter,Harris Teeter,,,,,
hy_vee,Hy-Vee,,,,,
navarro,Navarro Discount Pharmacy,,,,,
nob_hill,Nob Hill,,,,,
pavilions,Pavilions Pharmacy,,,,,
pdf,Prescription Drug Foundation,,,,,
price_chopper,Price Chopper,,,,,
publix,Publix,,,,,
qfc,QFC,,,,,
raleys,Raley's,,,,,
ralphs,Ralphs,,,,,
rite_aid,Rite Aid,,,,,
safeway,Safeway,,,,,
sams,Sams Club,,,,,
vons,Vons Pharmacy,,,,,
