hospital_id,hospital_name,system_id,address,city,state,zip_code,latitude,longitude,website,phone,hospital_type,operational_status
nyc_002,Mount Sinai Hospital,SYS_MOUNTSINAI,1468 Madison Ave,New York,NY,10029,40.790311,-73.952097,,+12122416500,Academic Medical Center,active
330214,NYU Langone Hospital,SYS_NYULANGONE,550 1st Ave,New York,NY,10016,40.742026,-73.974348,,+16469297800,Academic Medical Center,active
nyc_004,Memorial Sloan Kettering Cancer Center,SYS_MSK,1275 York Ave,New York,NY,10065,40.764054,-73.956026,,+13477989213,Specialty Cancer Hospital,active
330270,Hospital for Special Surgery,SYS_HSS,535 E 70th St,New York,NY,10021,40.765048,-73.9529124,,+12126061000,Specialty Orthopedic Hospital,active
330119,Lenox Hill Hospital,SYS_NORTHWELL,100 E 77th St,New York,NY,10075,40.7737506,-73.9608241,,+12124342000,Academic Medical Center,active
nyc_007,Manhattan Eye Ear & Throat Hospital,SYS_NORTHWELL,210 E 64th St,New York,NY,10065,40.7640723,-73.9633151,,+12128389200,Specialty Hospital,active
330106,North Shore University Hospital,SYS_NORTHWELL,300 Community Dr,Manhasset,NY,11030,40.7755044,-73.7012082,,+15165620100,Academic Medical Center,active
nyc_009,Long Island Jewish Medical Center,SYS_NORTHWELL,270-05 76th Ave,Glen Oaks,NY,11040,40.7556629,-73.7074216,,+17184707000,Academic Medical Center,active
330101,NewYork-Presbyterian / Weill Cornell Medical Center,SYS_NYP,525 E 68th St,New York,NY,10065,40.7648658,-73.9539836,,+12127465454,Academic Medical Center,active
nyc_011,NewYork-Presbyterian / Columbia University Medical Center,SYS_NYP,622 W 168th St,New York,NY,10032,40.8410959,-73.9405652,,+12123052500,Academic Medical Center,active
330169,Mount Sinai Beth Israel,SYS_MOUNTSINAI,,New York,NY,,,,,,Community Hospital,inactive
330046,Mount Sinai West,SYS_MOUNTSINAI,1000 10th Ave,New York,NY,10019,40.770024,-73.9874562,,+12125234000,Community Hospital,active
nyc_014,Mount Sinai Morningside,SYS_MOUNTSINAI,419 W 114th St,New York,NY,10025,40.8055483,-73.9613152,,+12125234000,Community Hospital,active
nyc_015,NYU Langone Hospital - Brooklyn,SYS_NYULANGONE,150 55th St,Brooklyn,NY,11220,40.646444,-74.021033,,+17186307000,Community Hospital,active
nyc_016,NYU Langone Hospital - Long Island,SYS_NYULANGONE,259 1st St,Mineola,NY,11501,40.740986,-73.643092,,+15166630333,Community Hospital,active
nyc_017,NewYork-Presbyterian Allen Hospital,SYS_NYP,5141 Broadway,New York,NY,10034,40.873348,-73.913017,,+12129324000,?,active
nyc_018,NewYork-Presbyterian Lower Manhattan Hospital,SYS_NYP,170 William St,New York,NY,10038,40.710079,-74.004860,,+12123125000,?,active
nyc_019,NYU Langone Orthopedic Hospital,SYS_NYULANGONE,301 E 17th St,New York,NY,10003,40.734025,-73.982851,,+12125986000,?,active
sf_001,UCSF Medical Center,SYS_UCSF,505 Parnassus Ave,San Francisco,CA,94143,37.763123,-122.457823,,+14154761000,Academic Medical Center,active
sf_002,Stanford Health Care,SYS_STANFORD,300 Pasteur Dr,Stanford,CA,94304,37.434033,-122.180740,,+16507234000,Academic Medical Center,active
sf_003,California Pacific Medical Center,SYS_SUTTER,3555 Cesar Chavez St,San Francisco,CA,94110,37.747807,-122.420583,,+14156006000,Community Hospital,active
sf_004,UCSF Benioff Children's Hospitals,SYS_UCSF,1975 4th St,San Francisco,CA,94158,37.7647716,-122.3896641,,+14154761000,Children's Hospital,active
sf_005,Stanford Children's Health,SYS_STANFORD,725 Welch Rd,Palo Alto,CA,94304,37.437437,-122.174818,,+16504978263,Children's Hospital,active
sf_006,John Muir Health Walnut Creek,SYS_JOHNMUIR,1601 Ygnacio Valley Rd,Walnut Creek,CA,94598,37.913137,-122.0408422,,+19259393000,Community Hospital,active
sf_007,John Muir Health Concord,SYS_JOHNMUIR,2540 East St,Concord,CA,94520,37.9825845,-122.0337765,,+19256828200,Community Hospital,active
sf_008,Kaiser Permanente San Francisco Medical Center,SYS_KAISER_NCA,2425 Geary Blvd,San Francisco,CA,94115,37.7828619,-122.4406591,,+14158332000,Integrated Healthcare,active
sf_009,Mills-Peninsula Medical Center,SYS_SUTTER,1501 Trousdale Dr,Burlingame,CA,94010,37.594392,-122.383214,,+16506965400,Community Hospital,active
sf_010,UCSF Health Hyde Hospital,SYS_UCSF,900 Hyde St,San Francisco,CA,94109,37.7896437,-122.4165414,,+14153536000,Community Hospital,active
sf_011,Zuckerberg San Francisco General Hospital,SYS_SFHEALTH,1001 Potrero Ave,San Francisco,CA,94110,37.7568103,-122.4052532,,+16282068000,Public Hospital,active
sf_012,"California Pacific Medical Center, Davies Campus",SYS_SUTTER,601 Duboce Ave,San Francisco,CA,94114,37.768783,-122.434591,,+14156006000,Community Hospital,active
sf_013,"California Pacific Medical Center, Van Ness Campus",SYS_SUTTER,1101 Van Ness Ave,San Francisco,CA,94109,37.786286,-122.421884,,+14156006000,Community Hospital,active
sf_014,UCSF Health Stanyan Hospital,SYS_UCSF,450 Stanyan St,San Francisco,CA,94117,37.774092,-122.453707,,+14156681000,Community Hospital,active
sfo_015,San Mateo Medical Center,,222 W 39th Ave,San Mateo,CA,94403,37.531127,-122.299072,http://www.sanmateomedicalcenter.org/,+16505732222,,active
dfw_001,UT Southwestern Medical Center - Clements University Hospital,SYS_UTSW,6201 Harry Hines Blvd,Dallas,TX,75390,32.812839,-96.840881,,+12146334700,Academic Medical Center,active
dfw_002,UT Southwestern Medical Center - Zale Lipshy Pavilion,SYS_UTSW,5151 Harry Hines Blvd,Dallas,TX,75390,32.8105,-96.8402,https://www.utswmed.org/,+12146334700,Academic Medical Center,active
dfw_003,Baylor University Medical Center,SYS_BSW,3500 Gaston Ave,Dallas,TX,75246,32.789889,-96.776944,,+12148200111,Academic Medical Center,active
dfw_004,Parkland Memorial Hospital,SYS_PARKLAND,5200 Harry Hines Blvd,Dallas,TX,75235,32.811389,-96.839167,,+12145908000,Public Hospital,active
dfw_005,Medical City Dallas Hospital,SYS_MEDCITY,7777 Forest Ln,Dallas,TX,75230,32.906944,-96.784722,,+19725667000,Acute Care Hospital,active
dfw_006,Texas Health Presbyterian Hospital Dallas,SYS_THR,8200 Walnut Hill Ln,Dallas,TX,75231,32.8725,-96.769167,,+12143456789,Acute Care Hospital,active
dfw_007,Texas Health Harris Methodist Hospital Fort Worth,SYS_THR,1301 Pennsylvania Ave,Fort Worth,TX,76104,32.730833,-97.332222,,+18172502000,Acute Care Hospital,active
dfw_008,Baylor Scott & White All Saints Medical Center - Fort Worth,SYS_BSW,1400 8th Ave,Fort Worth,TX,76104,32.729722,-97.328889,,+18179262544,Acute Care Hospital,active
dfw_009,John Peter Smith Hospital,SYS_JPS,1500 S Main St,Fort Worth,TX,76104,32.728056,-97.330556,,+18179213431,Public Hospital,active
dfw_010,Medical City Plano,SYS_MEDCITY,3901 W 15th St,Plano,TX,75075,33.017222,-96.736944,,+19725966800,Acute Care Hospital,active
dfw_011,Children's Medical Center Dallas,SYS_CHILDRENS_HEALTH,1935 Medical District Dr,Dallas,TX,75235,32.809505,-96.837669,,+12144567000,Children's Hospital,active
dfw_012,Cook Children's Medical Center,SYS_COOKS,801 7th Ave,Fort Worth,TX,76104,32.728889,-97.326944,,+16828854000,Children's Hospital,active
dfw_013,Methodist Richardson Medical Center,SYS_METHODIST_DALLAS,2831 E President George Bush Hwy,Richardson,TX,75082,32.964167,-96.683889,,+14692041000,Acute Care Hospital,active
dfw_014,Medical City Arlington,SYS_MEDCITY,3301 Matlock Rd,Arlington,TX,76015,32.699444,-97.108056,,+18174653241,Acute Care Hospital,active
dfw_015,Medical City Fort Worth,SYS_MEDCITY,900 8th Ave,Fort Worth,TX,76104,32.729167,-97.3275,,+18178775292,Acute Care Hospital,active
dfw_016,Texas Health Presbyterian Hospital Plano,SYS_THR,6200 W Parker Rd,Plano,TX,75093,33.046944,-96.788889,,+14724409000,Acute Care Hospital,active
dfw_017,Texas Health Huguley Hospital,SYS_THR,11801 South Fwy,Fort Worth,TX,76028,32.5625,-97.316944,http://www.texashealthhuguley.org/,+18175511011,Acute Care Hospital,active
dfw_018,Texas Health Harris Methodist Hospital Southwest Fort Worth,SYS_THR,6100 Harris Pkwy,Fort Worth,TX,76132,32.658179,-97.420777,,+18174335000,,active
dfw_019,Children's Medical Center Plano,SYS_CHILDRENS_HEALTH,7601 Preston Rd,Plano,TX,75024,33.078845,-96.800974,,+14693037000,Children's Hospital,active
dfw_020,Methodist Dallas Medical Center,SYS_METHODIST_DALLAS,1441 N Beckley Ave,Dallas,TX,75203,32.760734,-96.825980,https://www.methodisthealthsystem.org/methodist-dallas-medical-center/?L=true,+12149478181,"",active
dfw_021,Methodist Hospital Campbell,SYS_METHODIST_DALLAS,401 W Campbell Rd,Richardson,TX,75080,32.974770,-96.726898,https://www.methodisthealthsystem.org/locations/methodist-campus-for-continuing-care/,+14692041000,,active
dfw_022,Methodist Charlton Medical Center,SYS_METHODIST_DALLAS,3500 W Wheatland Rd,Dallas,TX,75237,32.647060,-96.876330,https://www.methodisthealthsystem.org/methodist-charlton-medical-center/?L=true,+12149477777,,active
hou_001,Houston Methodist Hospital,SYS_HMETHODIST,6565 Fannin St,Houston,TX,77030,29.709722,-95.397222,https://www.houstonmethodist.org/locations/texas-medical-center,+17137903311,Academic Medical Center,active
hou_002,Houston Methodist Willowbrook Hospital,SYS_HMETHODIST,18220 Tomball Pkwy,Houston,TX,77070,29.970833,-95.543889,https://www.houstonmethodist.org/locations/willowbrook,+12814778100,Community Hospital,active
hou_003,Houston Methodist West Hospital,SYS_HMETHODIST,18500 Katy Fwy,Houston,TX,77094,29.7825,-95.718056,https://www.houstonmethodist.org/locations/katy-west,+18329224000,Community Hospital,active
hou_004,Memorial Hermann - Texas Medical Center,SYS_MEMORIAL_HERMANN,6411 Fannin St,Houston,TX,77030,29.709167,-95.3975,https://memorialhermann.org/locations/texas-medical-center,+17137044000,Academic Medical Center,active
hou_005,Memorial Hermann Memorial City Medical Center,SYS_MEMORIAL_HERMANN,921 Gessner Rd,Houston,TX,77024,29.776389,-95.554722,https://memorialhermann.org/locations/memorial-city,+17132423000,Acute Care Hospital,active
hou_006,MD Anderson Cancer Center,SYS_MDANDERSON,1515 Holcombe Blvd,Houston,TX,77030,29.707222,-95.396944,https://www.mdanderson.org/,+18776326789,Specialty Cancer Hospital,active
hou_007,Baylor St. Luke's Medical Center,SYS_STLUKES,1101 Bates Ave,Houston,TX,77030,29.709444,-95.399167,https://www.stlukeshealth.org/locations/baylor-st-lukes-medical-center,+18327552000,Academic Medical Center,active
hou_008,Texas Children's Hospital - Main Campus,SYS_TXCHILDRENS,6621 Fannin St,Houston,TX,77030,29.709722,-95.398333,https://www.texaschildrens.org/locations/texas-childrens-hospital/west-tower,+18328241000,Children's Hospital,active
hou_009,Ben Taub Hospital,SYS_HARRIS_HEALTH,1504 Taub Loop,Houston,TX,77030,29.711111,-95.391944,https://www.harrishealth.org/locations-hh/pages/ben-taub.aspx,+17138732000,Public Hospital,active
hou_010,Lyndon B. Johnson Hospital,SYS_HARRIS_HEALTH,5656 Kelley St,Houston,TX,77026,29.793889,-95.325556,,+17135666400,Public Hospital,active
hou_011,The Woman's Hospital of Texas,SYS_MEDCITY,7600 Fannin St,Houston,TX,77054,29.698056,-95.3975,,+17137901234,Specialty Hospital,active
hou_012,Children's Memorial Hermann Hospital,SYS_MEMORIAL_HERMANN,6411 Fannin St,Houston,TX,77030,29.709167,-95.3975,,+17137045437,Children's Hospital,active
hou_013,Houston Methodist Sugar Land Hospital,SYS_HMETHODIST,16655 Southwest Fwy,Sugar Land,TX,77479,29.588635,-95.631004,https://www.houstonmethodist.org/locations/sugar-land,+12812747000,,active
hou_014,Houston Methodist Cypress Hospital,SYS_HMETHODIST,24500 Northwest Fwy,Cypress,TX,77429,29.961944,-95.680590,https://www.houstonmethodist.org/locations/cypress/,+13466182000,,active
hou_015,Houston Methodist The Woodlands Hospital,SYS_HMETHODIST,17201 I-45,Conroe,TX,77385,30.205035,-95.451846,https://www.houstonmethodist.org/locations/the-woodlands,+19362702000,,active
atl_001,Emory University Hospital,SYS_EMORY,1364 Clifton Rd NE,Atlanta,GA,30322,33.796111,-84.325278,,+14047124000,Academic Medical Center,active
atl_002,Emory University Hospital Midtown,SYS_EMORY,550 Peachtree St NE,Atlanta,GA,30308,33.768889,-84.385833,,+14046864411,Community Hospital,active
atl_003,Grady Memorial Hospital,SYS_GRADY,80 Jesse Hill Jr Dr SE,Atlanta,GA,30303,33.752778,-84.383611,,+14046164307,Public Hospital,active
atl_004,Northside Hospital - Atlanta,SYS_NORTHSIDE,1000 Johnson Ferry Rd NE,Atlanta,GA,30342,33.913611,-84.355556,,+14048511000,Community Hospital,active
atl_005,Piedmont Atlanta Hospital,SYS_PIEDMONT,1968 Peachtree Rd NW,Atlanta,GA,30309,33.801667,-84.385556,,+14046059000,Community Hospital,active
atl_006,WellStar Kennestone Hospital,SYS_WELLSTAR,677 Church St NE,Marietta,GA,30060,33.953889,-84.536944,,+17707932511,Regional Medical Center,active
atl_007,Children's Healthcare of Atlanta - Egleston,SYS_CHOA,1405 Clifton Rd NE,Atlanta,GA,30322,33.796389,-84.322778,,+14047851000,Children's Hospital,active
atl_008,Children's Healthcare of Atlanta - Scottish Rite,SYS_CHOA,1001 Johnson Ferry Rd NE,Atlanta,GA,30342,33.913889,-84.354444,,+14047851000,Children's Hospital,active
phx_001,Mayo Clinic Hospital - Phoenix,SYS_MAYO_AZ,5777 E Mayo Blvd,Phoenix,AZ,85054,33.659167,-111.960278,,+14803016000,Academic Medical Center,active
phx_002,Banner University Medical Center - Phoenix,SYS_BANNER,1111 E McDowell Rd,Phoenix,AZ,85006,33.464167,-112.0575,,+16028391000,Academic Medical Center,active
phx_003,Banner University Medical Center - Tucson,SYS_BANNER,1501 N Campbell Ave,Tucson,AZ,85724,32.241389,-110.945833,,+15206948888,Academic Medical Center,active
phx_004,St. Joseph's Hospital and Medical Center,SYS_DIGNITY_AZ,350 W Thomas Rd,Phoenix,AZ,85013,33.482222,-112.083056,,+16024063000,Academic Medical Center,active
phx_005,Phoenix Children's Hospital,SYS_PHOENIXCHILDRENS,1919 E Thomas Rd,Phoenix,AZ,85016,33.481944,-112.039722,,+16029331000,Children's Hospital,active
phx_006,Abrazo Arizona Heart Hospital,SYS_ABRAZO,1930 E Thomas Rd,Phoenix,AZ,85016,33.482222,-112.038889,,+16025324000,Specialty Heart Hospital,active
phx_007,Banner Estrella Medical Center,SYS_BANNER,9201 W Thomas Rd,Phoenix,AZ,85037,33.480833,-112.235833,,+16233272000,Acute Care Hospital,active
chi_001,Northwestern Memorial Hospital,SYS_NORTHWESTERN,251 E Huron St,Chicago,IL,60611,41.894444,-87.621389,,+13129262000,Academic Medical Center,active
chi_002,Rush University Medical Center,SYS_RUSH,1653 W Congress Pkwy,Chicago,IL,60612,41.874722,-87.670833,,+13129425000,Academic Medical Center,active
chi_003,University of Chicago Medical Center,SYS_UCHICAGO,5841 S Maryland Ave,Chicago,IL,60637,41.787222,-87.603889,,+17737021000,Academic Medical Center,active
chi_004,Advocate Christ Medical Center,SYS_ADVOCATE,4440 W 95th St,Oak Lawn,IL,60453,41.720556,-87.725833,,+17086841700,Academic Medical Center,active
chi_005,Loyola University Medical Center,SYS_LOYOLA,2160 S 1st Ave,Maywood,IL,60153,41.860833,-87.8375,,+17082168000,Academic Medical Center,active
chi_006,Advocate Trinity Hospital,SYS_ADVOCATE,2320 E 93rd St,Chicago,IL,60617,41.728889,-87.570278,,+17739675000,Community Hospital,active
den_001,UCHealth University of Colorado Hospital,SYS_UCHEALTH,12605 E 16th Ave,Aurora,CO,80045,39.742222,-104.840833,,+17208484100,Academic Medical Center,active
den_002,Denver Health Medical Center,SYS_DENVERHEALTH,777 Bannock St,Denver,CO,80204,39.726944,-104.998333,,+13034363000,Public Hospital,active
den_003,Saint Joseph Hospital,SYS_SCL,1375 E 19th Ave,Denver,CO,80218,39.745556,-104.970556,,+13038372000,Community Hospital,active
den_004,Swedish Medical Center,SYS_HCA_HEALTHONE,501 E Hampden Ave,Englewood,CO,80113,39.645833,-104.986944,,+13037883000,Acute Care Hospital,active
den_005,Children's Hospital Colorado,SYS_CHILDRENSCO,13123 E 16th Ave,Aurora,CO,80045,39.7425,-104.836944,,+17207771234,Children's Hospital,active
tpa_001,Tampa General Hospital,SYS_TAMPAGEN,1 Tampa General Cir,Tampa,FL,33606,27.940556,-82.458333,,+18138444000,Academic Medical Center,active
tpa_002,AdventHealth Tampa,SYS_ADVENTHEALTH,3100 E Fletcher Ave,Tampa,FL,33613,28.061667,-82.439167,,+18139712000,Acute Care Hospital,active
tpa_003,Morton Plant Hospital,SYS_BAYCARE,300 Pinellas St,Clearwater,FL,33756,27.952054,-82.801584,,+17274627000,Acute Care Hospital,active
tpa_004,St. Joseph's Hospital - Tampa,SYS_BAYCARE,3001 W Dr Martin Luther King Jr Blvd,Tampa,FL,33607,27.970278,-82.474722,,+18138704000,Acute Care Hospital,active
tpa_005,Johns Hopkins All Children's Hospital,SYS_JHUALLCHILDREN,501 6th Ave S,St. Petersburg,FL,33701,27.767222,-82.639167,,+17278985000,Children's Hospital,active
tpa_006,HCA Florida South Tampa Hospital,SYS_HCA_WESTFL,2901 W Swann Ave,Tampa,FL,33609,27.934167,-82.497222,,+18138738571,Acute Care Hospital,active
bal_001,The Johns Hopkins Hospital,,1800 Orleans St,Baltimore,MD,21287,39.2964392,-76.5923927,https://www.hopkinsmedicine.org/the_johns_hopkins_hospital,+14109555000,Academic Medical Center,active
bal_002,Sinai Hospital of Balitmore,,2401 W Belvedere Ave,Baltimore,MD,21215,,,https://doctors.lifebridgehealth.org/location/sinai-hospital-schoeneman-building-2nd-floor,+14106019000,,active
ann_001,University of Michigan Hospital,,1500 E Medical Center Dr,Ann Arbor,MI,48109,42.2821095,-83.7273205,http://www.uofmhealth.org/,+17349364000,Academic Medical Center,active
det_001,Henry Ford Hospital,,2799 W Grand Blvd,Detroit,MI,48202,42.3678522,-83.0855196,https://www.henryford.com/locations/henry-ford-hospital,+13139162600,,active
det_002,Corewell Health William Beaumont University Hospital,,3601 W 13 Mile Rd,Royal Oak,MI,48073,42.5138736,-83.1928803,https://www.beaumont.org/locations/beaumont-hospital-royal-oak,+12488985000,,active
mia_001,Jackson Memorial Hospital,,1611 NW 12th Ave,Miami,FL,33136,25.7916705,-80.2126015,https://jacksonhealth.org/locations/jackson-memorial-hospital/,+13055851111,Academic Medical Center,active
lax_001,Los Angeles General Medical Center,,1200 N State St,Los Angeles,CA,90033,34.0581804,-118.2097969,https://dhs.lacounty.gov/lageneral/,+13232262622,,active
lax_002,Olive View-UCLA Medical Center,,14445 Olive View Dr,Sylmar,CA,91342,34.3265664,-118.4487311,https://dhs.lacounty.gov/oliveview/,+17472103000,,active
lax_003,Children's Hospital Los Angeles,,4650 Sunset Blvd,Los Angeles,CA,90027,34.0976912,-118.2900801,https://www.chla.org/,+13236602450,,active
phl_001,St. Christopher's Hospital for Children,,160 E Erie Ave,Philadelphia,PA,19134,40.0062787,-75.1256327,https://towerhealth.org/locations/st-christophers-hospital-children,+12154275000,Children's Hospital,active
phl_002,Abington Hospital - Jefferson Health,,1200 Old York Rd,Abington,PA,19001,40.1196538,-75.120194,http://www.abingtonradiology.com/,+12154813926,,active
phl_003,Temple University Hospital - Main Campus,,3401 N Broad St,Philadelphia,PA,19140,40.0053079,-75.1508235,https://www.templehealth.org/locations/temple-university-hospital,+18008367536,,active
phl_004,Thomas Jefferson University Hospital,,111 S 11th St,Philadelphia,PA,19107,39.9492771,-75.1580307,https://www.jeffersonhealth.org/locations/thomas-jefferson-university-hospital,+12159556000,,active
chs_001,MUSC Health University Medical Center,,171 Ashley Ave,Charleston,SC,29425,32.785583,-79.9481581,https://www.getcare.muschealth.org/locations/sc/charleston/musc-health-university-medical-centerdep-fac139,+18437921414,Academic Medical Center,active
mdt_001,Penn State Health Milton S. Hershey Medical Center,,500 University Dr,Hershey,PA,17033,40.273179,-76.675745,https://www.pennstatehealth.org/locations/milton-s-hershey-medical-center,+18002431455,,active
sea_001,Virginia Mason Medical Center,,1100 9th Ave,Seattle,WA,98101,47.6101681,-122.3278853,https://www.vmfh.org/our-hospitals/virginia-mason-medical-center.html,+12066241144,,active
sea_002,MultiCare Tacoma General Hospital,,315 M.L.K. Jr Way,Tacoma,WA,98405,47.247871,-122.472793,https://www.multicare.org/location/tacoma-general-hospital,+12534031000,,active
dan_001,Geisinger Medical Center,,100 N Academy Ave,Danville,PA,17822,40.9682437,-76.604154,https://www.geisinger.org/patient-care/find-a-location/geisinger-medical-center,+15702716211,,active
jac_001,Henry Ford Jackson Hospital,,205 N East Ave,Jackson,MI,49201,42.2512962,-84.3938707,https://www.henryford.com/locations/jackson-hospital,+15172054800,,active
rdu_001,WakeMed Raleigh Campus,,3000 New Bern Ave,Raleigh,NC,27610,35.784464,-78.590762,https://www.wakemed.org/,+19193508000,,active
sna_001,CHOC Hospital - Orange,,1201 W La Veta Ave,Orange,CA,92868,33.7809052,-117.8660899,https://choc.org/locations/choc-hospital-main-campus-orange,+17142032181,,active
sna_002,Providence St. Joseph Hospital Orange,,1100 W Stewart Dr,Orange,CA,92868,33.782129,-117.8640246,https://www.providence.org/locations/socal/st-joseph-hospital-orange,+17147718000,,active
pen_001,Guthrie Robert Packer Hospital,,1 Guthrie Sq,Sayre,PA,18840,41.9805889,-76.5208075,https://www.guthrie.org/locations/guthrie-robert-packer-hospital,+15708886666,,active
pen_002,UPMC Cole,,1001 E 2nd St,Coudersport,PA,16915,41.771286,-77.980875,https://www.upmc.com/locations/hospitals/cole,+18142749300,,active
pen_003,Lancaster General Hospital,,555 N Duke St,Lancaster,PA,17602,,,https://www.pennmedicine.org/locations/lancaster-general-hospital,+17175445511,,active
slc_001,University of Utah Hospital,,50 Medical Dr N,Salt Lake City,UT,84132,40.7715715,-111.8365802,https://healthcare.utah.edu/hospital,+18015812121,,active
