hospital_id,hospital_name,system_id,address,city,state,zip_code,latitude,longitude,phone,facility_type,operational_status
nyc_002,Mount Sinai Hospital,SYS_MOUNTSINAI,1468 Madison Ave,New York,NY,10029,40.790311,-73.952097,+12122416500,Academic Medical Center,active
nyc_003,NYU Langone Hospital,SYS_NYULANGONE,550 1st Ave,New York,NY,10016,40.742026,-73.974348,+16469297800,Academic Medical Center,active
nyc_004,Memorial Sloan Kettering Cancer Center,SYS_MSK,1275 York Ave,New York,NY,10065,40.764054,-73.956026,+13477989213,Specialty Cancer Hospital,active
nyc_005,Hospital for Special Surgery,SYS_HSS,535 E 70th St Main Hospital,New York,NY,10021,40.765048,-73.9529124 ,+12126061000,Specialty Orthopedic Hospital,active
nyc_006,Lenox Hill Hospital,SYS_NORTHWELL,100 E 77th St,New York,NY,10075,40.7737506,-73.9608241,+12124342000,Academic Medical Center,active
nyc_007,Manhattan Eye Ear & Throat Hospital,SYS_NORTHWELL,210 E 64th St,New York,NY,10065,40.7640723,-73.9633151,+12128389200,Specialty Hospital,active
nyc_008,North Shore University Hospital,SYS_NORTHWELL,300 Community Dr,Manhasset,NY,11030,40.7755044,-73.7012082,+15165620100,Academic Medical Center,active
nyc_009,Long Island Jewish Medical Center,SYS_NORTHWELL,270-05 76th Ave,Glen Oaks,NY,11040,40.7556629,-73.7074216,+17184707000,Academic Medical Center,active
nyc_010,NewYork-Presbyterian / Weill Cornell Medical Center,SYS_NYP,525 E 68th St,New York,NY,10065,40.7648658,-73.9539836,+12127465454,Academic Medical Center,active
nyc_011,NewYork-Presbyterian / Columbia University Medical Center,SYS_NYP,622 W 168th St,New York,NY,10032,40.8410959,-73.9405652,+12123052500,Academic Medical Center,active
nyc_012,Mount Sinai Beth Israel,SYS_MOUNTSINAI,,New York,NY,,,,,Community Hospital,inactive
nyc_013,Mount Sinai West,SYS_MOUNTSINAI,1000 10th Ave,New York,NY,10019,40.770024,-73.9874562,+12125234000,Community Hospital,active
nyc_014,Mount Sinai Morningside,SYS_MOUNTSINAI,419 W 114th St,New York,NY,10025,40.8055483,-73.9613152,+12125234000,Community Hospital,active
nyc_015,NYU Langone Hospital - Brooklyn,SYS_NYULANGONE,150 55th St,Brooklyn,NY,11220,40.646444,-74.021033,+17186307000,Community Hospital,active
nyc_016,NYU Langone Hospital - Long Island,SYS_NYULANGONE,259 1st St,Mineola,NY,11501,40.740986,-73.643092,+15166630333,Community Hospital,active
nyc_017,NewYork-Presbyterian Allen Hospital,SYS_NYP,5141 Broadway,New York,NY,10034,40.873348,-73.913017,+12129324000,?,active
nyc_018,NewYork-Presbyterian Lower Manhattan Hospital,SYS_NYP,170 William St,New York,NY,10038,40.710079,-74.004860,+12123125000,?,active
nyc_019,"NYU Langone Orthopedic Hospital",SYS_NYULANGONE,301 E 17th St,New York,NY,10003,40.734025,-73.982851,+12125986000,?,active
sf_001,UCSF Medical Center,SYS_UCSF,505 Parnassus Ave,San Francisco,CA,94143,37.763123,-122.457823,+14154761000,Academic Medical Center,active
sf_002,Stanford Health Care,SYS_STANFORD,300 Pasteur Dr,Stanford,CA,94304,37.434033,-122.180740,+16507234000,Academic Medical Center,active
sf_003,California Pacific Medical Center,SYS_SUTTER,3555 Cesar Chavez St,San Francisco,CA,94110,37.747807,-122.420583,+14156006000,Community Hospital,active
sf_004,UCSF Benioff Children's Hospitals,SYS_UCSF,1975 4th St,San Francisco,CA,94158,37.7647716,-122.3896641,+14154761000,Children's Hospital,active
sf_005,Stanford Children's Health,SYS_STANFORD,725 Welch Rd,Palo Alto,CA,94304,37.437437,-122.174818,+16504978263,Children's Hospital,active
sf_006,John Muir Health Walnut Creek,SYS_JOHNMUIR,1601 Ygnacio Valley Rd,Walnut Creek,CA,94598,37.913137,-122.0408422,+19259393000,Community Hospital,active
sf_007,John Muir Health Concord,SYS_JOHNMUIR,2540 East St,Concord,CA,94520,37.9825845,-122.0337765,+19256828200,Community Hospital,active
sf_008,Kaiser Permanente San Francisco Medical Center,SYS_KAISER_NCA,2425 Geary Blvd,San Francisco,CA,94115,37.7828619,-122.4406591,+14158332000,Integrated Healthcare,active
sf_009,Mills-Peninsula Medical Center,SYS_SUTTER,1501 Trousdale Dr,Burlingame,CA,94010,37.594392,-122.383214,+16506965400,Community Hospital,active
sf_010,UCSF Health Hyde Hospital,SYS_UCSF,900 Hyde St,San Francisco,CA,94109,37.7896437,-122.4165414,+14153536000,Community Hospital,active
sf_011,Zuckerberg San Francisco General Hospital,SYS_SFHEALTH,1001 Potrero Ave,San Francisco,CA,94110,37.7568103,-122.4052532,+16282068000,Public Hospital,active
sf_012,"California Pacific Medical Center, Davies Campus",SYS_SUTTER,601 Duboce Ave,San Francisco,CA,94114,37.768783,-122.434591,+14156006000,Community Hospital,active
sf_013,"California Pacific Medical Center, Van Ness Campus",SYS_SUTTER,1101 Van Ness Ave,San Francisco,CA,94109,37.786286,-122.421884,+14156006000,Community Hospital,active
sf_014,"UCSF Health Stanyan Hospital",SYS_UCSF,450 Stanyan St,San Francisco,CA,94117,37.774092,-122.453707,+14156681000,Community Hospital,active
