id,name,primaryType,types,formattedAddress,street_number,route,neighborhood,city,county,zip,state,country,latitude,longitude,businessStatus,borough_seed,query_seed
ChIJk9ruyj32wokRP8Z7bR7Bl5c,The Mount Sinai Hospital,hospital,"['hospital', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","1468 Madison Ave, New York, NY 10029, USA",1468,Madison Avenue,Manhattan,New York,New York County,10029,New York,United States,40.7899484,-73.9524454,OPERATIONAL,Manhattan,hospital
ChIJX1cBnXdYwokRMtZoy6JJx_Q,HMH Palisades Medical Center,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","7600 River Rd, North Bergen, NJ 07047, USA",7600,River Road,,North Bergen,Hudson County,07047,New Jersey,United States,40.7936996,-73.9962264,OPERATIONAL,Manhattan,hospital
ChIJWwL0jcNYwokRVCXGXtBSsgU,NewYork-Presbyterian/Weill Cornell Medical Center,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","525 E 68th St, New York, NY 10065, USA",525,East 68th Street,Manhattan,New York,New York County,10065,New York,United States,40.7644066,-73.9541833,OPERATIONAL,Manhattan,hospital
ChIJqccvIQxZwokR4PfF_NqTomc,NYC Health + Hospitals / Bellevue,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","462 1st Ave, New York, NY 10016, USA",462,1st Avenue,Manhattan,New York,New York County,10016,New York,United States,40.7396865,-73.9762044,OPERATIONAL,Manhattan,hospital
ChIJdUrffUJZwokRwuMqrnBmhUo,NYU Langone Health,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","550 1st Ave, New York, NY 10016, USA",550,1st Avenue,Manhattan,New York,New York County,10016,New York,United States,40.7421225,-73.9739642,OPERATIONAL,Manhattan,hospital
ChIJOzBevz32wokRyOlTYIko13s,Mount Sinai West,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","1000 10th Ave, New York, NY 10019, USA",1000,10th Avenue,Manhattan,New York,New York County,10019,New York,United States,40.7698391,-73.98716639999999,OPERATIONAL,Manhattan,hospital
ChIJra13dJVYwokRh3kQ5-p7Nio,Lenox Hill Hospital,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","100 E 77th St, New York, NY 10075, USA",100,East 77th Street,Manhattan,New York,New York County,10075,New York,United States,40.7737304,-73.9608219,OPERATIONAL,Manhattan,hospital
ChIJxyP7YHb2wokRbxR-lIlJmWY,NYC Health + Hospitals/Harlem,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","506 Lenox Ave, New York, NY 10037, USA",506,Lenox Avenue,Manhattan,New York,New York County,10037,New York,United States,40.8143104,-73.93950869999999,OPERATIONAL,Manhattan,hospital
ChIJEbXTe5z2wokR83YM0hRjJb8,NewYork-Presbyterian / Columbia University Irving Medical Center,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","622 W 168th St, New York, NY 10032, USA",622,West 168th Street,Manhattan,New York,New York County,10032,New York,United States,40.8411304,-73.9408887,OPERATIONAL,Manhattan,hospital
ChIJG1z-2KhYwokRhPmjewNNWcc,NYC Health + Hospitals/Metropolitan,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","1901 1st Ave, New York, NY 10029, USA",1901,1st Avenue,Manhattan,New York,New York County,10029,New York,United States,40.7850202,-73.9448902,OPERATIONAL,Manhattan,hospital
ChIJ96LYj8tXwokRq4xE-Ti1RxE,Hudson Regional Hospital New Jersey,hospital,"['hospital', 'health', 'point_of_interest', 'establishment']","55 Meadowlands Pkwy, Secaucus, NJ 07094, USA",55,Meadowlands Parkway,,Secaucus,Hudson County,07094,New Jersey,United States,40.7916187,-74.0730358,OPERATIONAL,Manhattan,hospital
