pharmacy_id,alias_name
albertsons,albertsons (sav-on)
bartell,bartell drug co
costco,costco
cpd,cost plus drugs
cvs,cvs pharmacy
cvs,csv
dillons,dillons pharmacy
fred_meyer,fred meyer pharmacy
haggen,haggen
harris_teeter,harris teeter
hy_vee,hy-vee
kroger,kroger pharmacy
navarro,navarro discount pharmacy
nob_hill,nob hill
pavilions,pavilions pharmacy
pdf,prescription drug foundation
price_chopper,price chopper
publix,publix
qfc,qfc
raleys,raley's
ralphs,ralphs
rite_aid,rite aid
safeway,safeway
sams,sams club
target,target
target,target (cvs)
vons,vons pharmacy
walgreens,walgreens
walgreens,walgreens specialty pharmacy
walgreens,"community, a walgreens pharmacy"
walmart,walmart pharmacy
walmart,walmart
walmart,walmart neighborhood market
