id,family_id,name,slug,description,common_name,search_terms
proc_abdomen_mri,fam_mri,Abdominal MRI,abdominal-mri,Belly MRI scan,Belly MRI,"stomach mri,belly mri,abdominal imaging,liver mri,abdominal scan"
proc_abdomen_pelvis_ct_scan,fam_ct_scan,Abdomen/Pelvis CT,abdomen-pelvis-ct,Combined CT scan,Abd/Pelvis CT,"belly ct,abdominal ct,pelvic ct,stomach ct scan"
proc_abdomen_ultrasound,fam_ultrasound,Abdominal Ultrasound,abdominal-ultrasound,Belly ultrasound,Belly Ultrasound,"belly ultrasound,stomach ultrasound,liver ultrasound,abdominal sonogram"
proc_abdomen_x_ray,fam_x_ray,Abdominal X-Ray,abdominal-x-ray,Belly X-ray,Belly X-Ray,"belly xray,stomach xray,abdominal film"
proc_abdominal_cavity_ultrasound,fam_ultrasound,Retroperitoneal Ultrasound,retroperitoneal-ultrasound,Deep belly ultrasound,Retroperitoneal US,
proc_acute_hepatitis_panel,fam_blood_test,Hepatitis Panel,hepatitis-panel,Hepatitis testing,Hep Panel,
proc_adrenaline_injection,fam_injection,Epinephrine Injection,epinephrine-injection,Adrenaline injection,Epinephrine,
proc_advance_care_planning,fam_care_planning,Advance Care Planning,advance-care-planning,Discussion of future healthcare wishes,Care Planning,
proc_albumin,fam_blood_test,Albumin Test,albumin-test,Blood protein test,Albumin,
proc_alcohols,fam_blood_test,Alcohol Level,alcohol-level,Blood alcohol,Alcohol Test,
proc_alkaline_phosphatase,fam_blood_test,Alkaline Phosphatase,alkaline-phosphatase,Liver/bone enzyme,Alk Phos,
proc_alpha_fetoprotein_serum,fam_blood_test,AFP Test,afp-test,Tumor marker,AFP,
proc_alt_sgpt,fam_blood_test,ALT Test,alt-test,Liver enzyme test,ALT,
proc_anesthesia_abdominal,fam_anesthesia,Abdominal Surgery Anesthesia,abdominal-anesthesia,Anesthesia for abdominal procedures,Anesthesia,
proc_anesthesia_arm_hand,fam_anesthesia,Arm/Hand Surgery Anesthesia,arm-hand-anesthesia,Anesthesia for arm or hand surgery,Anesthesia,
proc_anesthesia_eye,fam_anesthesia,Eye Surgery Anesthesia,eye-anesthesia,Anesthesia for eye surgery,Anesthesia,
proc_anesthesia_hernia,fam_anesthesia,Hernia Surgery Anesthesia,hernia-anesthesia,Anesthesia for hernia repair,Anesthesia,
proc_anesthesia_knee,fam_anesthesia,Knee Surgery Anesthesia,knee-anesthesia,Anesthesia for knee procedures,Anesthesia,
proc_anesthesia_obstetric,fam_anesthesia,Labor & Delivery Anesthesia,obstetric-anesthesia,Anesthesia for childbirth,Labor Anesthesia,
proc_ankle_x_ray,fam_x_ray,Ankle X-Ray,ankle-x-ray,Ankle X-ray,Ankle X-Ray,
proc_annual_alcohol_screening,fam_mental_health_screen,Alcohol Screening,alcohol-screening,Alcohol misuse screening,Alcohol Screening,
proc_annual_depression_screening,fam_mental_health_screen,Depression Screening,depression-screening,Depression assessment,Depression Screening,
proc_annual_wellness_visit,fam_wellness_visit,Annual Wellness Visit,annual-wellness-visit,Yearly preventive care checkup,Annual Checkup,"yearly physical,annual physical,annual checkup,preventive care,yearly checkup,wellness exam"
proc_antibody_identification,fam_blood_test,Antibody ID,antibody-id,Antibody identification,Antibody ID,
proc_antinuclear_antibody,fam_blood_test,ANA Test,ana-test,Autoimmune test,ANA,
proc_appendectomy,fam_appendix,Appendectomy,appendectomy,Appendix removal surgery,Appendix Removal,"appendix surgery,appendix removal,appendicitis surgery,appy"
proc_application_long_arm_splint,fam_splint,Long Arm Splint,long-arm-splint,Splint from shoulder to hand,Arm Splint,
proc_application_short_arm_splint,fam_splint,Short Arm Splint,short-arm-splint,Splint from elbow to hand,Wrist Splint,
proc_application_short_leg_splint,fam_splint,Short Leg Splint,short-leg-splint,Splint from knee to foot,Ankle Splint,
proc_arm_joint_mri,fam_mri,Arm Joint MRI,arm-joint-mri,Shoulder/elbow MRI,Arm Joint MRI,
proc_arm_leg_arteries_ultrasound,fam_ultrasound,Arterial Ultrasound,arterial-ultrasound,Arm/leg artery ultrasound,Arterial Doppler,
proc_arm_leg_veins_ultrasound,fam_ultrasound,Venous Ultrasound,venous-ultrasound,Arm/leg vein ultrasound,Venous Doppler,"dvt ultrasound,blood clot ultrasound,leg vein ultrasound"
proc_arm_mri,fam_mri,Arm MRI,arm-mri,Arm MRI scan,Arm MRI,
proc_arterial_line_placement,fam_vascular_access,Arterial Line Placement,arterial-line,Arterial catheter for monitoring,Art Line,
proc_arterial_puncture,fam_vascular_access,Arterial Blood Draw,arterial-puncture,Arterial blood sample collection,ABG Draw,
proc_arthrocentesis,fam_joint_clinical_procedure,Joint Injection,joint-injection,Joint fluid aspiration or injection,Joint Injection,"joint aspiration,joint tap,knee injection,joint fluid"
proc_arthrodesis_knee,fam_joint_replacement,Knee Fusion,knee-fusion,Surgical knee joint fusion,Knee Fusion,
proc_ast_sgot,fam_blood_test,AST Test,ast-test,Liver enzyme test,AST,
proc_axillary_nerve_block,fam_nerve_block,Axillary Nerve Block,axillary-nerve-block,Armpit area nerve block,Axillary Block,
proc_azithromycin_injection,fam_injection,Azithromycin Injection,azithromycin-injection,Antibiotic injection,Zithromax IV,
proc_baclofen_injection,fam_injection,Baclofen Injection,baclofen-injection,Muscle relaxant injection,Baclofen,
proc_bilirubin,fam_blood_test,Bilirubin Test,bilirubin-test,Liver function test,Bilirubin,
proc_bladder_capacity_ultrasound,fam_bladder,Bladder Scan,bladder-scan,Bladder volume ultrasound,Bladder Scan,
proc_bladder_urethra_endoscopy,fam_bladder,Cystoscopy,cystoscopy,Bladder examination,Bladder Scope,
proc_blood_collection,fam_blood_test,Blood Draw,blood-draw,Venous blood sample collection,Blood Draw,"blood draw,phlebotomy,get blood drawn,needle stick"
proc_blood_culture,fam_culture,Blood Culture,blood-culture,Blood infection test,Blood Culture,
proc_blood_gas,fam_blood_test,Blood Gas Test,blood-gas-test,Arterial blood gas,ABG,"abg,arterial blood gas,oxygen level test"
proc_blood_typing,fam_blood_test,Blood Type Test,blood-type-test,ABO and Rh typing,Blood Type,
proc_blood_vessels_abdomen_pelvis_ct_scan,fam_ct_scan,Abdominal CTA,abdominal-cta,Belly vessel CT,Abd CTA,
proc_blood_vessels_chest_ct_scan,fam_ct_scan,Chest CTA,chest-cta,Chest vessel CT,Chest CTA,
proc_blood_vessels_head_ct_scan,fam_ct_scan,Head CTA,head-cta,Brain vessel CT,Head CTA,
proc_blood_vessels_neck_ct_scan,fam_ct_scan,Neck CTA,neck-cta,Neck vessel CT,Neck CTA,
proc_brachial_plexus_block,fam_nerve_block,Arm Nerve Block,arm-nerve-block,Brachial plexus nerve block,Arm Block,
proc_brain_intracranial_mri,fam_mri,Brain MRA,brain-mra,Brain vessel MRI,Brain MRA,
proc_brain_mri,fam_mri,Brain MRI,brain-mri,Brain MRI scan,Brain MRI,"brain scan,head mri,neurological mri,brain imaging,head scan"
proc_brain_stem_mri,fam_mri,Brain Stem MRI,brain-stem-mri,Brain stem imaging,Brain Stem MRI,"brain stem scan,brainstem imaging"
proc_breast_ultrasound,fam_ultrasound,Breast Ultrasound,breast-ultrasound,Breast imaging,Breast Ultrasound,"breast imaging,breast lump,breast exam,breast sonogram"
proc_bun,fam_blood_test,BUN Test,bun-test,Blood urea nitrogen,BUN,
proc_c_difficile_toxin,fam_culture,C. Diff Test,c-diff-test,C. difficile test,C. Diff,
proc_c_reactive_protein,fam_blood_test,CRP Test,crp-test,Inflammation marker,CRP,
proc_ca_125,fam_blood_test,CA-125 Test,ca-125-test,Ovarian cancer marker,CA-125,
proc_ca_19_9,fam_blood_test,CA 19-9 Test,ca-19-9-test,Pancreatic cancer marker,CA 19-9,
proc_calcium_total,fam_blood_test,Calcium Test,calcium-test,Blood calcium,Calcium,
