id,category_id,name,slug,description
fam_anesthesia,???,,,
fam_biopsy,cat_lab_work,Biopsies,biopsy,
fam_blood_test,cat_lab_work,Blood tests,blood-test,
fam_care_planning,???,,,
fam_chemotherapy,cat_cancer_treatment,Chemotherapies,chemotherapy,
fam_chiropractic,cat_physical_therapy,Chiropractic,chiropractic,
fam_chronic_care,???,,,
fam_colonoscopy,cat_examination,Colonoscopy,colonoscopy,
fam_ct_scan,cat_imaging,CT Scans (Computed Tomography),ct-scan,
fam_dxa,cat_imaging,DXA (Dual-energy X-ray absorptiometry),dxa,
fam_ecg,cat_testing,ECGs (Electrocardiogram),ecg,
fam_emergency,cat_emergency_care,Emergency care,emergency-care,
fam_endoscopy,cat_examination,Endoscopies,endoscopy,
fam_hearing,cat_testing,Hearing,hearing,
fam_hearing_speech,cat_testing,Hearing and speech,hearing-and-speech,
fam_home_visit,???,,,
fam_hospital_care,???,,,
fam_immunoassay,cat_lab_work,Immunoassay,immunoassay,
fam_immunostaining,cat_lab_work,Immunostaining,immunostaining,
fam_joint_clinical_procedure,cat_surgery,Clinical procedures on joint(s),joint-clinical-procedure,
fam_joint_replacement,cat_surgery,Replacements of joint(s),joint-replacement,
fam_lung_test,cat_testing,Lung tests,lung-test,
fam_mammography,cat_imaging,Mammographies,mammography,
fam_mental_health_eval,cat_mental_health,Mental health evaluations,mental-health-eval,
fam_mental_health_screen,cat_mental_health,Mental health screenings,mental-health-screen,
fam_mental_health_therapy,cat_mental_health,Mental health therapies,mental-health-therapy,
fam_mri,cat_imaging,MRI Scans (Magnetic Resonance Imaging),mri-scan,
fam_nursing_facility_care,???,,,
fam_office_visit,???,,,
fam_physical_therapy,cat_physical_therapy,Physical therapies,physical-therapy,
fam_sedation,???,,,
fam_skin,cat_surgery,Skin removals,skin,
fam_smear_test,cat_lab_work,Smear tests,smear-test,
fam_tele_medicine,???,,,
fam_training,???,,,
fam_ultrasound,cat_imaging,Ultrasounds,ultrasound,
fam_urine_test,cat_lab_work,Urine tests,urine-test,
fam_vaccine,cat_vaccine,Vaccines,vaccine,
fam_vision,cat_testing,Vision tests,vision,
fam_x_ray,cat_imaging,X-Rays (Radiology),x-ray,
