specialty_id,category_id
207RN0300X,1
207VE0102X,2
2080P0204X,3
208100000X,4
2084N0400X,5
2085R0205X,6
207L00000X,6
208C00000X,7
207WX0110X,3
207XX0004X,7
2086S0102X,8
207SG0205X,6
2080H0002X,3
2083S0010X,3
2084A2900X,5
207ZC0008X,6
2081P0010X,3
207LH0002X,6
207VH0002X,2
207RA0002X,9
207RH0000X,3
2080P0202X,3
2080P0210X,3
2083X0100X,6
2084P0015X,10
2085D0003X,5
2085R0204X,9
207RG0300X,3
207RS0012X,3
207VC0300X,3
207YS0012X,5
202K00000X,6
2084D0003X,5
2084H0002X,5
2085U0001X,6
207WX0108X,11
207LC0200X,8
207QH0002X,3
207UN0901X,9
2085N0700X,5
2086S0129X,9
207K00000X,6
207LA0401X,10
207X00000X,7
207YX0905X,11
2083P0011X,3
2084N0600X,5
207WX0109X,5
2080P0203X,3
2080P0206X,3
207RH0003X,12
2084F0202X,10
208G00000X,9
207RI0008X,13
207U00000X,6
207VF0040X,2
207WX0120X,6
2085R0203X,6
207QS0010X,3
207VM0101X,2
208000000X,3
2080P0216X,3
2082S0105X,4
204E00000X,7
207ZP0213X,3
2080C0008X,3
2080P0201X,3
207ND0900X,14
208M00000X,15
207ZH0000X,12
207ZM0300X,6
2080T0004X,3
2085H0002X,6
207RP1001X,8
207YX0602X,11
2084N0402X,5
2085R0202X,6
2088P0231X,3
204R00000X,6
207RI0011X,9
207UN0902X,6
207WX0107X,11
2080S0012X,3
207P00000X,15
207XS0114X,7
207XX0005X,4
2080P0205X,3
2083C0008X,6
2083P0500X,3
2084S0012X,5
208800000X,16
207PE0004X,15
207QD0401X,3
207YX0901X,5
207YP0228X,3
2080P0214X,3
207WX0009X,11
2080P0006X,3
207QS1201X,3
207RH0002X,3
2084P0301X,5
2086S0122X,7
207NI0002X,14
207ZD0900X,14
207ZI0100X,6
2080P0208X,3
2081S0010X,4
2084P0802X,10
2084B0040X,5
2084E0001X,6
207LP3000X,3
207PH0002X,15
2084P0804X,10
207ND0101X,7
207RA0000X,3
207RI0001X,3
207RS0010X,3
207V00000X,2
2086H0002X,7
207PE0005X,15
207RA0401X,3
207SG0201X,6
208U00000X,6
207PT0002X,15
207QB0505X,3
207RI0200X,6
209800000X,6
207YX0007X,11
2083A0300X,3
207QG0300X,3
2081H0002X,4
2085N0904X,6
207PS0010X,4
207RH0005X,6
207RM1200X,3
207VX0000X,2
207RX0202X,12
207ZN0500X,5
2080I0007X,3
2080T0002X,3
207SC0300X,6
