billing_code_type,billing_code,procedure_id
"CPT","70551","proc_brain_mri"
"CPT","70552","proc_brain_mri"
"CPT","70553","proc_brain_mri"
"CPT","72148","proc_spine_mri"
"CPT","72149","proc_spine_mri"
"CPT","73721","proc_knee_mri"
"CPT","73722","proc_knee_mri"
"CPT","85025","proc_complete_blood_count"
"CPT","80053","proc_comprehensive_metabolic_panel"
"CPT","?????","proc_lipid_panel"
"MS-DRG","0466","proc_tot_knee_replace"
"MS-DRG","0467","proc_tot_knee_replace"
"MS-DRG","0468","proc_tot_knee_replace"
"MS-DRG","0469","proc_hip_replace"
"MS-DRG","0470","proc_hip_replace"

